Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths,Age
2/22/2021,1/1/2020,2/20/2021,Male,00 year,11090,30,00
2/22/2021,1/1/2020,2/20/2021,Male,01 Years,792,7,01
2/22/2021,1/1/2020,2/20/2021,Male,02 Years,529,3,02
2/22/2021,1/1/2020,2/20/2021,Male,03 Years,426,2,03
2/22/2021,1/1/2020,2/20/2021,Male,04 Years,329,3,04
2/22/2021,1/1/2020,2/20/2021,Male,05 Years,317,5,05
2/22/2021,1/1/2020,2/20/2021,Male,06 Years,256,1,06
2/22/2021,1/1/2020,2/20/2021,Male,07 Years,250,4,07
2/22/2021,1/1/2020,2/20/2021,Male,08 Years,222,4,08
2/22/2021,1/1/2020,2/20/2021,Male,09 Years,245,4,09
2/22/2021,1/1/2020,2/20/2021,Male,10 Years,287,3,10
2/22/2021,1/1/2020,2/20/2021,Male,11 Years,323,5,11
2/22/2021,1/1/2020,2/20/2021,Male,12 Years,361,8,12
2/22/2021,1/1/2020,2/20/2021,Male,13 Years,526,5,13
2/22/2021,1/1/2020,2/20/2021,Male,14 Years,697,2,14
2/22/2021,1/1/2020,2/20/2021,Male,15 Years,942,7,15
2/22/2021,1/1/2020,2/20/2021,Male,16 Years,1327,7,16
2/22/2021,1/1/2020,2/20/2021,Male,17 Years,1735,17,17
2/22/2021,1/1/2020,2/20/2021,Male,18 Years,2448,16,18
2/22/2021,1/1/2020,2/20/2021,Male,19 Years,3013,44,19
2/22/2021,1/1/2020,2/20/2021,Male,20 Years,3158,40,20
2/22/2021,1/1/2020,2/20/2021,Male,21 Years,3605,49,21
2/22/2021,1/1/2020,2/20/2021,Male,22 Years,3708,54,22
2/22/2021,1/1/2020,2/20/2021,Male,23 Years,3923,76,23
2/22/2021,1/1/2020,2/20/2021,Male,24 Years,4157,88,24
2/22/2021,1/1/2020,2/20/2021,Male,25 Years,4403,82,25
2/22/2021,1/1/2020,2/20/2021,Male,26 Years,4612,110,26
2/22/2021,1/1/2020,2/20/2021,Male,27 Years,4966,144,27
2/22/2021,1/1/2020,2/20/2021,Male,28 Years,5352,137,28
2/22/2021,1/1/2020,2/20/2021,Male,29 Years,5625,188,29
2/22/2021,1/1/2020,2/20/2021,Male,30 Years,5927,184,30
2/22/2021,1/1/2020,2/20/2021,Male,31 Years,6017,247,31
2/22/2021,1/1/2020,2/20/2021,Male,32 Years,5888,235,32
2/22/2021,1/1/2020,2/20/2021,Male,33 Years,6130,271,33
2/22/2021,1/1/2020,2/20/2021,Male,34 Years,6229,301,34
2/22/2021,1/1/2020,2/20/2021,Male,35 Years,6348,332,35
2/22/2021,1/1/2020,2/20/2021,Male,36 Years,6524,345,36
2/22/2021,1/1/2020,2/20/2021,Male,37 Years,6933,412,37
2/22/2021,1/1/2020,2/20/2021,Male,38 Years,7008,441,38
2/22/2021,1/1/2020,2/20/2021,Male,39 Years,7529,476,39
2/22/2021,1/1/2020,2/20/2021,Male,40 Years,7726,494,40
2/22/2021,1/1/2020,2/20/2021,Male,41 Years,7674,608,41
2/22/2021,1/1/2020,2/20/2021,Male,42 Years,7689,640,42
2/22/2021,1/1/2020,2/20/2021,Male,43 Years,7956,647,43
2/22/2021,1/1/2020,2/20/2021,Male,44 Years,8067,772,44
2/22/2021,1/1/2020,2/20/2021,Male,45 Years,8620,889,45
2/22/2021,1/1/2020,2/20/2021,Male,46 Years,9084,936,46
2/22/2021,1/1/2020,2/20/2021,Male,47 Years,9995,1078,47
2/22/2021,1/1/2020,2/20/2021,Male,48 Years,11343,1247,48
2/22/2021,1/1/2020,2/20/2021,Male,49 Years,12883,1417,49
2/22/2021,1/1/2020,2/20/2021,Male,50 Years,13739,1568,50
2/22/2021,1/1/2020,2/20/2021,Male,51 Years,14185,1663,51
2/22/2021,1/1/2020,2/20/2021,Male,52 Years,15168,1751,52
2/22/2021,1/1/2020,2/20/2021,Male,53 Years,16303,1830,53
2/22/2021,1/1/2020,2/20/2021,Male,54 Years,18213,2094,54
2/22/2021,1/1/2020,2/20/2021,Male,55 Years,20658,2325,55
2/22/2021,1/1/2020,2/20/2021,Male,56 Years,22967,2670,56
2/22/2021,1/1/2020,2/20/2021,Male,57 Years,24335,2667,57
2/22/2021,1/1/2020,2/20/2021,Male,58 Years,26511,2949,58
2/22/2021,1/1/2020,2/20/2021,Male,59 Years,28782,3540,59
